"Rank","Player","Position","Position Rank","ADP on April 29","ADP on July 12","ADP Change"
130,"Colston Loveland","TE","TE12",116.9,129.7,12.8
131,"Kyle Williams","WR","WR60",143.2,132.3,-10.9
132,"Bhayshul Tuten","RB","RB42",125.8,132.7,6.9
133,"Trevor Lawrence","QB","QB19",131.6,132.9,1.3
134,"C.J. Stroud","QB","QB20",129,134,5
135,"Ray Davis","RB","RB43",153.9,134.1,-19.8
136,"Hollywood Brown","WR","WR61",128.3,135.8,7.5
137,"Dalton Kincaid","TE","TE13",135.9,136.8,0.9
138,"Trey Benson","RB","RB44",143.4,138.6,-4.8
139,"Dallas Goedert","TE","TE14",147.4,139,-8.4
140,"Rachaad White","RB","RB45",159.9,140.6,-19.3
141,"Isaiah Likely","TE","TE15",135.3,140.9,5.6
142,"Michael Penix","QB","QB21",140.9,142.9,2
143,"Isaac Guerendo","RB","RB46",147.3,143,-4.3
144,"Jake Ferguson","TE","TE16",142.1,143.5,1.4
145,"Cedric Tillman","WR","WR62",163.9,144.3,-19.6
146,"Quentin Johnston","WR","WR63",144,145.8,1.8
147,"Jaydon Blue","RB","RB47",173.1,148,-25.1
148,"Xavier Legette","WR","WR64",147.6,148.6,1
149,"Tua Tagovailoa","QB","QB22",148.9,149.6,0.7
150,"Tyler Allgeier","RB","RB48",164.5,151.5,-13
151,"Austin Ekeler","RB","RB49",182,152.5,-29.5
152,"Bryce Young","QB","QB23",157.3,153.6,-3.7
153,"Jack Bech","WR","WR65",150.3,154.6,4.3
154,"Matthew Stafford","QB","QB24",155.1,154.6,-0.5
155,"Romeo Doubs","WR","WR66",152.7,155.1,2.4
156,"Jonnu Smith","TE","TE17",96.8,155.7,58.9
157,"Joshua Palmer","WR","WR67",161.6,156.6,-5
158,"Kyle Pitts","TE","TE18",151.3,157.3,6
159,"Tank Bigsby","RB","RB50",138.2,159.7,21.5
160,"Brenton Strange","TE","TE19",165.2,160,-5.2
161,"Jaylen Wright","RB","RB51",181.3,161,-20.3
162,"Cam Ward","QB","QB25",153.6,162,8.4
163,"Geno Smith","QB","QB26",161.7,162,0.3
164,"Pat Bryant","WR","WR68",209.4,162.3,-47.1
165,"Hunter Henry","TE","TE20",178.4,164,-14.4
166,"Adam Thielen","WR","WR69",157.4,165.7,8.3
167,"Roschon Johnson","RB","RB52",209.3,167.6,-41.7
168,"Jalen McMillan","WR","WR70",122.8,168.2,45.4
169,"Braelon Allen","RB","RB53",176.3,169.6,-6.7
170,"DeMario Douglas","WR","WR71",193.7,170.4,-23.3
171,"Mike Gesicki","TE","TE21",182.9,171.2,-11.7
172,"Wan'Dale Robinson","WR","WR72",180.3,171.3,-9
173,"Zach Ertz","TE","TE22",174.5,172.6,-1.9
174,"Rico Dowdle","RB","RB54",165.4,174.2,8.8
175,"Sam Darnold","QB","QB27",174.4,176.5,2.1
176,"Will Shipley","RB","RB55",196.7,177.7,-19
177,"Alec Pierce","WR","WR73",177.6,179.4,1.8
178,"Jaylin Noel","WR","WR74",153.6,179.5,25.9
179,"Michael Wilson","WR","WR75",198.9,179.9,-19
180,"Cade Otton","TE","TE23",182.4,180.4,-2
181,"Aaron Rodgers","QB","QB28",214.4,182.1,-32.3
182,"Nick Chubb","RB","RB56",207.4,182.8,-24.6
183,"Miles Sanders","RB","RB57",214.9,183.7,-31.2
184,"Dyami Brown","WR","WR76",204.8,184,-20.8
185,"Mason Taylor","TE","TE24",199.2,184.5,-14.7
186,"DeAndre Hopkins","WR","WR77",188,186.2,-1.8
187,"Darren Waller","TE","TE25",210.6,187.3,-23.3
188,"Chig Okonkwo","TE","TE26",208.4,187.9,-20.5
189,"DJ Giddens","RB","RB58",165.4,190.7,25.3
190,"Dont'e Thornton","WR","WR78",215.3,191.1,-24.2
191,"Darius Slayton","WR","WR79",203.4,191.6,-11.8
192,"Justice Hill","RB","RB59",203.3,193,-10.3
193,"Calvin Austin III","WR","WR80",215.8,193.5,-22.3
194,"MarShawn Lloyd","RB","RB60",209.9,197.1,-12.8
195,"Jarquez Hunter","RB","RB61",211.5,197.5,-14
196,"Keenan Allen","WR","WR81",159.7,197.9,38.2
197,"Dalton Schultz","TE","TE27",199.1,198.9,-0.2
198,"Anthony Richardson","QB","QB29",174.8,199.2,24.4
199,"Dylan Sampson","RB","RB62",148.2,200.7,52.5
200,"Brashard Smith","RB","RB63",192.9,201.4,8.5
201,"Daniel Jones","QB","QB30",215.2,202.6,-12.6
202,"Ja'Tavion Sanders","TE","TE28",206.3,203,-3.3
203,"Andrei Iosivas","WR","WR82",205,204.4,-0.6
204,"Tutu Atwell","WR","WR83",212.6,206.1,-6.5
205,"Juwan Johnson","TE","TE29",211.6,207.3,-4.3
206,"Tyler Lockett","WR","WR84",211.4,207.6,-3.8
207,"Pat Freiermuth","TE","TE30",182.9,208.5,25.6
208,"Blake Corum","RB","RB64",182.8,208.8,26
209,"Jalen Coker","WR","WR85",169.5,210,40.5
210,"Keaton Mitchell","RB","RB65",215.7,210,-5.7
211,"Tyler Shough","QB","QB31",214.7,210.1,-4.6
212,"Kareem Hunt","RB","RB66",214.4,210.4,-4
213,"Dontayvion Wicks","WR","WR86",177.7,210.9,33.2
214,"Jerome Ford","RB","RB67",159.4,210.9,51.5
215,"Theo Johnson","TE","TE31",214.3,211,-3.3
216,"Russell Wilson","QB","QB32",209.6,211.6,2
217,"Adonai Mitchell","WR","WR87",198.3,212.2,13.9
218,"Elic Ayomanor","WR","WR88",180.3,212.3,32
219,"Terrance Ferguson","TE","TE32",212.5,212.3,-0.2
220,"Jaxson Dart","QB","QB33",206.8,212.6,5.8
